rndNum,courseNum,rndPos,rndScr,relParScr,cumParScr,playerName,year,name,name2,cost
Round 2,625,T13,66,-4,-6,23614,2005,RICH BEEM,Rich Beem,#N/A
Round 3,625,T30,72,2,-4,23614,2005,RICH BEEM,Rich Beem,#N/A
Round 4,625,T48,72,2,-2,23614,2005,RICH BEEM,Rich Beem,#N/A
Round 1,625,T53,69,-1,-1,25345,2005,CARL PETTER,Carl Pettersson,5300
Round 2,625,T39,69,-1,-2,25345,2005,CARL PETTER,Carl Pettersson,5300
Round 3,625,T30,68,-2,-4,25345,2005,CARL PETTER,Carl Pettersson,5300
Round 4,625,T48,72,2,-2,25345,2005,CARL PETTER,Carl Pettersson,5300
Round 1,625,T5,64,-6,-6,21959,2005,TED PURDY,Ted Purdy,#N/A
Round 2,625,T9,69,-1,-7,21959,2005,TED PURDY,Ted Purdy,#N/A
Round 3,625,T15,71,1,-6,21959,2005,TED PURDY,Ted Purdy,#N/A
Round 4,625,T48,74,4,-2,21959,2005,TED PURDY,Ted Purdy,#N/A
Round 1,625,T30,67,-3,-3,2135,2005,MIKE STANDL,Mike Standly,#N/A
Round 2,625,T54,72,2,-1,2135,2005,MIKE STANDL,Mike Standly,#N/A
Round 3,625,T61,72,2,1,2135,2005,MIKE STANDL,Mike Standly,#N/A
Round 4,625,T48,67,-3,-2,2135,2005,MIKE STANDL,Mike Standly,#N/A
Round 1,625,T20,66,-4,-4,21407,2005,ARJUN ATWAL,Arjun Atwal,#N/A
Round 2,625,T23,70,E,-4,21407,2005,ARJUN ATWAL,Arjun Atwal,#N/A
Round 3,625,T53,74,4,E,21407,2005,ARJUN ATWAL,Arjun Atwal,#N/A
Round 4,625,T53,69,-1,-1,21407,2005,ARJUN ATWAL,Arjun Atwal,#N/A
Round 1,625,T53,69,-1,-1,1157,2005,TOM BYRUM,Tom Byrum,#N/A
Round 2,625,T39,69,-1,-2,1157,2005,TOM BYRUM,Tom Byrum,#N/A
Round 3,625,T43,70,E,-2,1157,2005,TOM BYRUM,Tom Byrum,#N/A
Round 4,625,T53,71,1,-1,1157,2005,TOM BYRUM,Tom Byrum,#N/A
Round 1,625,T20,66,-4,-4,20378,2005,MATHIA GRONBE,Mathias Gronberg,#N/A
Round 2,625,T54,73,3,-1,20378,2005,MATHIA GRONBE,Mathias Gronberg,#N/A
Round 3,625,T53,71,1,E,20378,2005,MATHIA GRONBE,Mathias Gronberg,#N/A
Round 4,625,T53,69,-1,-1,20378,2005,MATHIA GRONBE,Mathias Gronberg,#N/A
Round 1,625,T108,72,2,2,26596,2005,RYAN MOORE,Ryan Moore,9400
Round 2,625,T54,67,-3,-1,26596,2005,RYAN MOORE,Ryan Moore,9400
Round 3,625,T61,72,2,1,26596,2005,RYAN MOORE,Ryan Moore,9400
Round 4,625,T53,68,-2,-1,26596,2005,RYAN MOORE,Ryan Moore,9400
Round 1,625,T41,68,-2,-2,1577,2005,LEE JANZEN,Lee Janzen,#N/A
Round 2,625,T39,70,E,-2,1577,2005,LEE JANZEN,Lee Janzen,#N/A
Round 3,625,T61,73,3,1,1577,2005,LEE JANZEN,Lee Janzen,#N/A
Round 4,625,T57,69,-1,E,1577,2005,LEE JANZEN,Lee Janzen,#N/A
Round 1,625,T5,64,-6,-6,20474,2005,PHILLI PRICE,Phillip Price,#N/A
Round 2,625,T23,72,2,-4,20474,2005,PHILLI PRICE,Phillip Price,#N/A
Round 3,625,T47,73,3,-1,20474,2005,PHILLI PRICE,Phillip Price,#N/A
Round 4,625,T57,71,1,E,20474,2005,PHILLI PRICE,Phillip Price,#N/A
Round 1,625,T5,64,-6,-6,27095,2005,NICK WATNEY,Nick Watney,8900
Round 2,625,T13,70,E,-6,27095,2005,NICK WATNEY,Nick Watney,8900
Round 3,625,T72,80,10,4,27095,2005,NICK WATNEY,Nick Watney,8900
Round 4,625,T57,66,-4,E,27095,2005,NICK WATNEY,Nick Watney,8900
Round 1,625,T79,70,E,E,28088,2005,MATT DAVIDS,Matt Davidson,#N/A
Round 2,625,T39,68,-2,-2,28088,2005,MATT DAVIDS,Matt Davidson,#N/A
Round 3,625,T47,71,1,-1,28088,2005,MATT DAVIDS,Matt Davidson,#N/A
Round 4,625,T60,72,2,1,28088,2005,MATT DAVIDS,Matt Davidson,#N/A
Round 1,625,T53,69,-1,-1,9011,2005,DAVID DUVAL,David Duval,#N/A
Round 2,625,T31,68,-2,-3,9011,2005,DAVID DUVAL,David Duval,#N/A
Round 3,625,T39,70,E,-3,9011,2005,DAVID DUVAL,David Duval,#N/A
Round 4,625,T60,74,4,1,9011,2005,DAVID DUVAL,David Duval,#N/A
Round 1,625,T79,70,E,E,26420,2005,RICHAR JOHNSO,Richard Johnson,#N/A
Round 2,625,T54,69,-1,-1,26420,2005,RICHAR JOHNSO,Richard Johnson,#N/A
Round 3,625,T65,73,3,2,26420,2005,RICHAR JOHNSO,Richard Johnson,#N/A
Round 4,625,T60,69,-1,1,26420,2005,RICHAR JOHNSO,Richard Johnson,#N/A
Round 1,625,T41,68,-2,-2,20029,2005,NOTAH BEGAY,Notah Begay III,#N/A
Round 2,625,T54,71,1,-1,20029,2005,NOTAH BEGAY,Notah Begay III,#N/A
Round 3,625,T53,71,1,E,20029,2005,NOTAH BEGAY,Notah Begay III,#N/A
Round 4,625,T63,72,2,2,20029,2005,NOTAH BEGAY,Notah Begay III,#N/A
Round 1,625,T53,69,-1,-1,8123,2005,JEFF BREHAU,Jeff Brehaut,#N/A
Round 2,625,T39,69,-1,-2,8123,2005,JEFF BREHAU,Jeff Brehaut,#N/A
Round 3,625,T53,72,2,E,8123,2005,JEFF BREHAU,Jeff Brehaut,#N/A
Round 4,625,T63,72,2,2,8123,2005,JEFF BREHAU,Jeff Brehaut,#N/A
Round 1,625,T79,70,E,E,6599,2005,JOHN ELLIOT,John Elliott,#N/A
Round 2,625,T39,68,-2,-2,6599,2005,JOHN ELLIOT,John Elliott,#N/A
Round 3,625,71,75,5,3,6599,2005,JOHN ELLIOT,John Elliott,#N/A
Round 4,625,T63,69,-1,2,6599,2005,JOHN ELLIOT,John Elliott,#N/A
Round 1,625,T53,69,-1,-1,20127,2005,CHRIS RILEY,Chris Riley,#N/A
Round 2,625,T39,69,-1,-2,20127,2005,CHRIS RILEY,Chris Riley,#N/A
Round 3,625,T65,74,4,2,20127,2005,CHRIS RILEY,Chris Riley,#N/A
Round 4,625,T63,70,E,2,20127,2005,CHRIS RILEY,Chris Riley,#N/A
Round 1,625,T79,70,E,E,25692,2005,AKIO SADAKA,Akio Sadakata,#N/A
Round 2,625,T39,68,-2,-2,25692,2005,AKIO SADAKA,Akio Sadakata,#N/A
Round 3,625,T65,74,4,2,25692,2005,AKIO SADAKA,Akio Sadakata,#N/A
Round 4,625,T63,70,E,2,25692,2005,AKIO SADAKA,Akio Sadakata,#N/A
Round 1,625,T41,68,-2,-2,23623,2005,BO VAN PE,Bo Van Pelt,4800
Round 2,625,T39,70,E,-2,23623,2005,BO VAN PE,Bo Van Pelt,4800
Round 3,625,T53,72,2,E,23623,2005,BO VAN PE,Bo Van Pelt,4800
Round 4,625,T63,72,2,2,23623,2005,BO VAN PE,Bo Van Pelt,4800
Round 1,625,T95,71,1,1,8881,2005,TRIPP ISENHO,Tripp Isenhour,#N/A
Round 2,625,T54,68,-2,-1,8881,2005,TRIPP ISENHO,Tripp Isenhour,#N/A
Round 3,625,T65,73,3,2,8881,2005,TRIPP ISENHO,Tripp Isenhour,#N/A
Round 4,625,T69,71,1,3,8881,2005,TRIPP ISENHO,Tripp Isenhour,#N/A
Round 1,625,T30,67,-3,-3,1713,2005,DAVID LUNDST,David Lundstrom,#N/A
Round 2,625,T54,72,2,-1,1713,2005,DAVID LUNDST,David Lundstrom,#N/A
Round 3,625,T43,69,-1,-2,1713,2005,DAVID LUNDST,David Lundstrom,#N/A
Round 4,625,T69,75,5,3,1713,2005,DAVID LUNDST,David Lundstrom,#N/A
Round 1,625,T53,69,-1,-1,7013,2005,WES SHORT,"Wes Short, Jr.",#N/A
Round 2,625,T54,70,E,-1,7013,2005,WES SHORT,"Wes Short, Jr.",#N/A
Round 3,625,T72,75,5,4,7013,2005,WES SHORT,"Wes Short, Jr.",#N/A
Round 4,625,T69,69,-1,3,7013,2005,WES SHORT,"Wes Short, Jr.",#N/A
Round 1,625,T9,65,-5,-5,23725,2005,BRENDA JONES,Brendan Jones,#N/A
Round 2,625,T54,74,4,-1,23725,2005,BRENDA JONES,Brendan Jones,#N/A
Round 3,625,T65,73,3,2,23725,2005,BRENDA JONES,Brendan Jones,#N/A
Round 4,625,72,72,2,4,23725,2005,BRENDA JONES,Brendan Jones,#N/A
Round 1,625,T53,69,-1,-1,24912,2005,WILL MACKEN,Will MacKenzie,7400
Round 2,625,T39,69,-1,-2,24912,2005,WILL MACKEN,Will MacKenzie,7400
Round 3,625,T65,74,4,2,24912,2005,WILL MACKEN,Will MacKenzie,7400
Round 4,625,73,74,4,6,24912,2005,WILL MACKEN,Will MacKenzie,7400
Round 1,625,T95,71,1,1,2170,2005,HAL SUTTON,Hal Sutton,#N/A
Round 2,625,T54,68,-2,-1,2170,2005,HAL SUTTON,Hal Sutton,#N/A
Round 3,625,74,82,12,11,2170,2005,HAL SUTTON,Hal Sutton,#N/A
Round 4,625,74,66,-4,7,2170,2005,HAL SUTTON,Hal Sutton,#N/A
Round 1,625,T53,69,-1,-1,6004,2005,STEPHE AMES,Stephen Ames,#N/A
Round 2,625,T75,71,1,E,6004,2005,STEPHE AMES,Stephen Ames,#N/A
Round 1,625,T53,69,-1,-1,23036,2005,CHRIS ANDERS,Chris Anderson,#N/A
Round 2,625,T75,71,1,E,23036,2005,CHRIS ANDERS,Chris Anderson,#N/A
Round 1,625,T95,71,1,1,24357,2005,K.J. CHOI,K.J. Choi,6500
