"","name","plrNum","year","rounds","average score"
"345","BILLY HORSCH","29420",2014,2,75.5
"346","BILLY HURLEY","29222",2014,2,75.5
"347","COLT KNOST","30711",2012,2,75.5
"348","DANNY LEE","29926",2014,2,75.5
"349","DAVID DUVAL","09011",2013,2,75.5
"350","GARY CHRIST","23204",2012,2,75.5
"351","JHONAT VEGAS","27064",2014,2,75.5
"352","JONAS BLIXT","27895",2012,2,75.5
"353","PETER UIHLEI","29484",2014,2,75.5
"354","RICKY BARNES","24846",2013,2,75.5
"355","SCOTT BROWN","29479",2013,2,75.5
"356","STEVE MARINO","28158",2013,2,75.5
"357","SUNG KANG","27974",2012,2,75.5
"358","TED POTTER","27556",2012,2,75.5
"359","TROY KELLY","28308",2013,2,75.5
"360","BRANDE GRACE","29974",2014,3,75.6666666666667
"361","JOHN MERRIC","27933",2014,3,75.6666666666667
"362","MARK ANDERS","33120",2012,3,75.6666666666667
"363","BEN MARTIN","33413",2014,2,76
"364","CAMERO BECKMA","12652",2013,2,76
"365","CHARLI BELJAN","32334",2012,2,76
"366","CONRAD SHINDL","39328",2013,2,76
"367","DARRON STILES","22295",2013,2,76
"368","DAVID TOMS","02206",2013,2,76
"369","DICKY PRIDE","10213",2012,2,76
"370","DIEGO VELASQ","34359",2012,3,76
"371","ERIC MEIERD","33869",2013,2,76
"372","J.B. HOLMES","27141",2012,2,76
"373","JASON BOHN","24507",2013,2,76
"374","JASON BOHN","24507",2014,2,76
"375","JAY MCLUEN","27171",2014,2,76
"376","JOE DURANT","06621",2014,2,76
"377","JOHN ROLLIN","22913",2012,2,76
"378","KEVIN TWAY","32333",2014,2,76
"379","KYLE THOMPS","22582",2012,1,76
"380","LEE WILLIA","28310",2014,2,76
"381","MARK ANDERS","33120",2014,2,76
"382","MATT BETTEN","20070",2012,2,76
"383","MATT MCQUIL","27939",2012,2,76
"384","NEAL LANCAS","06332",2012,2,76
"385","NICK O'HERN","22348",2012,4,76
"386","OMAR URESTI","08385",2012,2,76
"387","PETER MALNAT","34466",2014,2,76
"388","ROBERT CASTRO","32200",2012,2,76
"389","ROBERT STREB","34431",2013,2,76
"390","STEVEN BOWDIT","25274",2012,2,76
"391","STUART APPLEB","20098",2012,2,76
"392","ARJUN ATWAL","21407",2012,2,76.5
"393","JEFF OVERTO","28475",2014,2,76.5
"394","JOHNSO WAGNER","26951",2012,2,76.5
"395","KEVIN CHAPPE","32366",2014,2,76.5
"396","MATHEW GOGGIN","20574",2012,2,76.5
"397","RETIEF GOOSEN","20157",2014,2,76.5
"398","RICH BEEM","23614",2013,2,76.5
"399","ROBERT CASTRO","32200",2013,2,76.5
"400","SHAWN STEFAN","33418",2013,2,76.5
"401","ARJUN ATWAL","21407",2013,2,77
"402","BOO WEEKLE","26289",2012,1,77
"403","BRAD FRITSC","29740",2014,2,77
"404","CASEY DEVOLL","22849",2012,2,77
"405","CHARLI WI","20160",2013,2,77
"406","CHRIS DIMARC","06251",2012,2,77
"407","DAVID MATHIS","22961",2013,2,77
"408","DEREK ERNST","37273",2013,2,77
"409","DUDLEY HART","06575",2014,1,77
"410","HEATH SLOCUM","22293",2012,2,77
"411","JAMIE LOVEMA","29461",2012,2,77
"412","JIM HERMAN","31557",2013,2,77
"413","JOE DURANT","06621",2012,2,77
"414","MARC LEISHM","26851",2012,2,77
"415","MARC TURNES","26668",2012,2,77
"416","RICHAR LEE","35139",2012,1,77
"417","RICKY BARNES","24846",2014,1,77
"418","STEPHE GANGLU","23903",2012,2,77
"419","WILL WILCOX","34265",2014,2,77
"420","JOEY SNYDER","21951",2013,3,77.3333333333333
"421","ZACK MILLER","31401",2012,3,77.3333333333333
"422","BOBBY GATES","32698",2014,2,77.5
"423","BRIAN BATEMA","07223",2012,2,77.5
"424","CARL COOPER","06150",2013,2,77.5
"425","MARK HENSBY","20433",2012,2,77.5
"426","SCOTT BROWN","29479",2012,2,77.5
"427","SCOTT VERPLA","02239",2014,2,77.5
"428","SHANE BERTSC","10505",2012,2,77.5
"429","TROY KELLY","28308",2012,2,77.5
"430","HUDSON SWAFFO","34264",2014,2,78
"431","MATHIA GRONBE","20378",2013,2,78
"432","MICHAE PUTNAM","28486",2012,2,78
"433","PAUL GOYDOS","06643",2014,2,78
"434","SCOTT LANGLE","34261",2014,2,78
"435","BRETT WETTER","23322",2012,2,78.5
"436","CHRIS RILEY","20127",2012,2,78.5
"437","HEATH SLOCUM","22293",2013,2,78.5
"438","KEVIN STADLE","26679",2012,2,78.5
"439","BILL LUNDE","23548",2013,1,79
"440","ERIC AXLEY","23048",2012,2,79
"441","KEVIN NA","25396",2012,1,79
"442","ROLAND THATCH","26287",2012,2,79
"443","RYUJI IMADA","21350",2012,2,79
"444","STEVE FLESCH","07457",2012,2,79
"445","JIMMY WALKER","25632",2012,2,79.5
"446","ROBERT GAMEZ","01388",2012,2,79.5
"447","KIRK TRIPLE","02214",2012,2,80
"448","DAVID VON HO","28050",2014,2,80.5
"449","PAUL NORRIS","06787",2012,2,82
"450","TOMMY GAINEY","30750",2012,2,82
"451","SANG-M BAE","28259",2013,1,83
